entity,company,relationship
DELSON SAINTAL,XPERIENCE INVESTMENTS LLC,REGISTERED_AGENT
DARCY D REIS,XPERIENCE HEALTH & FITNESS LLC,REGISTERED_AGENT
DELSON SAINTAL,XPERIENCE BARBERS LLC,REGISTERED_AGENT
XPERIENCE HEALTH & FITNESS LLC,XPERIENCE HEALTH & FITNESS,OWNER_NAME
CORPORATION SERVICE COMPANY,XP SYSTEMS CORPORATION,COMMERCIAL_REGISTERED_AGENT
BROOKS HONDL,XPEDITION WELL SERVICE LLC,REGISTERED_AGENT
CORPORATION SERVICE COMPANY,XOME REALTY SERVICES LLC,COMMERCIAL_REGISTERED_AGENT
DELSON SAINTAL,XPERIENCE BARBERS,OWNER_NAME
STACY THOMAS,"XOXO, PHOENIIX LLC",REGISTERED_AGENT
CORPORATION SERVICE COMPANY,XOME FIELD SERVICES LLC,COMMERCIAL_REGISTERED_AGENT
CORPORATION SERVICE COMPANY,XOME INC.,COMMERCIAL_REGISTERED_AGENT
"PAYPAL, INC.",XOOM,OWNER_NAME
"REGISTERED AGENT SOLUTIONS, INC.",XN FINANCIAL SERVICES INC.,COMMERCIAL_REGISTERED_AGENT
REGISTERED AGENTS INC,XMODN SECURITY LLC,COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XO COMMUNICATIONS SERVICES, LLC",COMMERCIAL_REGISTERED_AGENT
ASHLEY MACK,XO BEAUTY,OWNER_NAME
ROUGHRIDER ARMS LLC,XM42,OWNER_NAME
MICHAEL BERG,"XM ACRES, LLP",REGISTERED_AGENT
"X-RAY LIMA TANGO, LLC",XLT TAXI,OWNER_NAME
SHILO J SHUMWAY,XOLARIA LLC,REGISTERED_AGENT
"X-RAY LIMA TANGO, LLC",XLT PACK AND SHIP,OWNER_NAME
"FIRST CORPORATE SOLUTIONS, INC.","XPEL, INC.",REGISTERED_AGENT
C T CORPORATION SYSTEM,"XLT MANAGEMENT SERVICES, INC.",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XLHOME, P.C. (DBA HOME HEALTH ASSESSMENTS OF NORTH DAKOTA, P.C.)",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XLHOME NORTHEAST, P.C. (DBA XLHNE, P.C.)",COMMERCIAL_REGISTERED_AGENT
"XLHOME NORTHEAST, P.C.","XLHNE, P.C.",OWNER_NAME
COREY GETZLAFF,"XL TRANSPORT, LLC",REGISTERED_AGENT
MOHAMED GARAAR,XL LOGISTICS LLC,REGISTERED_AGENT
DAN MASSETH,"XL HOMES, CORP.",REGISTERED_AGENT
LIYING ZHANG,XJOY LLC,REGISTERED_AGENT
JUAN ULLOA,"XILAJU, LLC",REGISTERED_AGENT
CORPORATION SERVICE COMPANY,"XL INDUSTRIAL SERVICES, INC.",COMMERCIAL_REGISTERED_AGENT
CINDY O'DAY,"XIE XIE, LLC",REGISTERED_AGENT
COREY K GETZLAFF,XL FARMS,OWNER_NAME
CINDY J GETZLAFF,XL FARMS,OWNER_NAME
CORPORATION SERVICE COMPANY,"XH, LLC",COMMERCIAL_REGISTERED_AGENT
"INCORP SERVICES, INC.","X-GEN PHARMACEUTICALS, INC.",COMMERCIAL_REGISTERED_AGENT
GEORGE POITRA,"XGP PROPERTIES, LLC",REGISTERED_AGENT
REGISTERED AGENTS INC,XGSC INC.,COMMERCIAL_REGISTERED_AGENT
DARIN K POWELL,"XIPHOS TECHNICAL SERVICES, LLC",REGISTERED_AGENT
"REGISTERED AGENT SOLUTIONS, INC.","XETA TECHNOLOGIES, INC.",COMMERCIAL_REGISTERED_AGENT
"COMCAST BROADBAND SECURITY, LLC",XFINITY HOME,OWNER_NAME
CORPORATION SERVICE COMPANY,XEROX FINANCIAL SERVICES LLC,COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XEROX BUSINESS SOLUTIONS, LLC",COMMERCIAL_REGISTERED_AGENT
KAYLEN STANLEY,XERO LLC,REGISTERED_AGENT
"THE PRENTICE-HALL CORPORATION SYSTEM, INC.",XEROX CORPORATION,COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XFIT HOLDINGS, INC.",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XERIS PHARMACEUTICALS, INC.",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XIGENT SOLUTIONS, LLC",COMMERCIAL_REGISTERED_AGENT
CHRISTOPHER SHERMAN,XERIC HOLDINGS LLC,REGISTERED_AGENT
COGENCY GLOBAL INC.,XERCOR INSURANCE SERVICES LLC,COMMERCIAL_REGISTERED_AGENT
"REGISTERED AGENT SOLUTIONS, INC.","XERATEX GROUP, LLC",COMMERCIAL_REGISTERED_AGENT
UNITED AGENT GROUP INC.,"XENITH, LLC",COMMERCIAL_REGISTERED_AGENT
TREVOR HARTMAN,XENITH DEVELOPMENT GROUP,OWNER_NAME
"INCORP SERVICES, INC.",XENEX DISINFECTION SERVICES INC.,COMMERCIAL_REGISTERED_AGENT
"CAPITOL CORPORATE SERVICES, INC.",XECARE LLC,COMMERCIAL_REGISTERED_AGENT
"REGISTERED AGENT SOLUTIONS, INC.","XENCOM ENERGY MANAGEMENT, LLC",COMMERCIAL_REGISTERED_AGENT
"XCS PROS, LLC",XCS PROS,OWNER_NAME
KIMBERLY BRAUN,XDP DIGITAL LLC,REGISTERED_AGENT
"INCORP SERVICES, INC.","XCONNECT TEXAS, LLC",COMMERCIAL_REGISTERED_AGENT
"VCORP SERVICES, LLC",XCMG AMERICA FINANCIAL LLC,REGISTERED_AGENT
"INCORP SERVICES, INC.",XCHANGE TELECOM LLC,COMMERCIAL_REGISTERED_AGENT
CORPORATION SERVICE COMPANY,"XEC, INC.",COMMERCIAL_REGISTERED_AGENT
"INCORP SERVICES, INC.","XCONNECT, LLC",COMMERCIAL_REGISTERED_AGENT
AAA NORTH DAKOTA REGISTERED AGENT LLC,XDATAK LLC,COMMERCIAL_REGISTERED_AGENT
DAVID J KLINKHAMMER,XCELL DRIVING SCHOOL LLP,REGISTERED_AGENT
"REGISTERED AGENT SOLUTIONS, INC.","XCLOUD, LLC",COMMERCIAL_REGISTERED_AGENT
XCELERATE INDOOR ADVENTURES LLC,XCELERATE INDOOR ADVENTURES,OWNER_NAME
KENNETH MILLER,XCEL TRUCKING LLC,REGISTERED_AGENT
SEARCH COMPANY OF NORTH DAKOTA LLC,XCEL NDT LLC,COMMERCIAL_REGISTERED_AGENT
TAIT SILTALA,XCEL HOLDINGS LLC,REGISTERED_AGENT
"DANDELION PAYMENTS, INC.",XE USA,OWNER_NAME
ANNIE CREECH,XCELERATE INDOOR ADVENTURES LLC,REGISTERED_AGENT
CORPORATION SERVICE COMPANY,XCEL ENERGY INC.,COMMERCIAL_REGISTERED_AGENT
TANNER COLLETTE,XCEL HOLDINGS,OWNER_NAME
NORTHERN STATES POWER COMPANY,XCEL ENERGY,OWNER_NAME
CORPORATION SERVICE COMPANY,XCEL ENERGY SERVICES INC.,COMMERCIAL_REGISTERED_AGENT
TANNER S COLLETTE,XCEL AVIATION,OWNER_NAME
DIAMONTE STUGELMEYER,XCEL DETAILING,OWNER_NAME
TAIT SILTALA,XCEL AUTOMATION & ELECTRIC LLC,REGISTERED_AGENT
"3H AGENT SERVICES, INC.","XCHANGE BENEFITS, LLC",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"XCEL ERECTORS, INC.",COMMERCIAL_REGISTERED_AGENT
MICHAEL S BROOKS,"XCS PROS, LLC",REGISTERED_AGENT
CHRISTOPHER PERLEBERG,XCEL AGRONOMY LLC,REGISTERED_AGENT
ANTHONY BAUMGARTNER,XCEL AG SOLUTIONS LLC,REGISTERED_AGENT
C T CORPORATION SYSTEM,"XCED AVIATION SERVICES, LLC",COMMERCIAL_REGISTERED_AGENT
GREGORY C KRUTSINGER,XCALIBUR LEASING COMPANY,REGISTERED_AGENT
"JONES ENTERPRISES, INC.",XCALIBUR ENTERTAINMENT,OWNER_NAME
CORPORATION SERVICE COMPANY,"XCALIBER INTERNATIONAL LTD., L.L.C.",COMMERCIAL_REGISTERED_AGENT
CORPORATION SERVICE COMPANY,"X-CALIBER RURAL CAPITAL, LLC",COMMERCIAL_REGISTERED_AGENT
"INCORPORATING SERVICES, LTD.",XAP LLC,REGISTERED_AGENT
MICHELLE BAKKE,"XANADU, LLC",REGISTERED_AGENT
RICK PAULSON,"XANADU PRODUCTS, L.L.C.",REGISTERED_AGENT
PATRICIA A ROGALLA,XAPIC STUDIOS,OWNER_NAME
"LEGALCORP SOLUTIONS, LLC",XAVIER GOLD CONSULTING GROUP INC,COMMERCIAL_REGISTERED_AGENT
ABDIKARIM A JAMA,XABOW EXPRESS LOGISTICS INC.,REGISTERED_AGENT
CORPORATION SERVICE COMPANY,"XACTUS, LLC",COMMERCIAL_REGISTERED_AGENT
ROXANNE WANZEK,"XABEAT, LLC",REGISTERED_AGENT
REGISTERED AGENTS INC,XACTLYONE FOUNDATION,COMMERCIAL_REGISTERED_AGENT
UNITED AGENT GROUP INC.,"X4 PHARMACEUTICALS, INC.",COMMERCIAL_REGISTERED_AGENT
XAVIER G TAYLOR,XAVIER TAYLOR CONSTRUCTION,OWNER_NAME
KORTO C KOLLIE,XAVIER COLLECTIONS LLC,REGISTERED_AGENT
CORPORATION SERVICE COMPANY,"X4I LIMITED (DBA X4I LIMITED, LLC)",COMMERCIAL_REGISTERED_AGENT
C T CORPORATION SYSTEM,"X.L. GLOBAL SERVICES, INC.",COMMERCIAL_REGISTERED_AGENT
X4I LIMITED,"X4I LIMITED, LLC",OWNER_NAME
"REGISTERED AGENT SOLUTIONS, INC.","X S BROKERS INSURANCE AGENCY, INC.",COMMERCIAL_REGISTERED_AGENT
MIAN HUSSAIN,X11 LLC,REGISTERED_AGENT
ERIC CHRISTIANS,X REALTY LLC,REGISTERED_AGENT
C T CORPORATION SYSTEM,X PAYMENTS LLC,COMMERCIAL_REGISTERED_AGENT
DANNY KRAFT,X MARK PROPERTIES LLC,REGISTERED_AGENT
"ELITE GOLF, LLC",X GOLF MINOT,OWNER_NAME
"ELITE GOLF 2, LLC",X GOLF BISMARCK,OWNER_NAME
